	index	config	name	tags	_step	eval_f1	_runtime	eval_acc	train_loss	eval_precision	eval_auc	eval_mcc	_timestamp	eval_recall	learning_rate	eval_Validation loss	Confusion Matrix.size	Confusion Matrix._type	Confusion Matrix.width	Confusion Matrix.format	Confusion Matrix.height	Confusion Matrix.sha256	Confusion Matrix.path	_wandb.runtime
321	2788	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1024, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_14th_2024_21_33_49_logstep=48_bs=1024_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	ZFP642	144.0	0.8558764486742327	261.0959870815277	0.856144578313253	0.18788141322632632	0.8565696461287223	0.9279263365173104	0.7121743611411858	1710466691.359058	0.8556053678246625	0.00016993464052287582	0.4743683695793152	58499.0	image-file	1200.0	png	1200.0	26dd8038dc03aa1a443c5c9c4d964fd714522e6802044298415509d9dada25c2	media/images/Confusion Matrix_96_26dd8038dc03aa1a443c.png	311.0
81	1892	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_27th_2024_21_10_13_logstep=46_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	GTF2F1	276.0	0.8549305313747697	599.203800201416	0.8555855742648907	0.2331987872071888	0.8609054862151613	0.9364101588991254	0.716006287893778	1711588813.434245	0.8551241418354275	0.0001527777777777778	0.3767704702913761	59791.0	image-file	1200.0	png	1200.0	54d906eea62773295e775c87eec295263f1d66f744fed46f46c6fafdc06d36c5	media/images/Confusion Matrix_230_54d906eea62773295e77.png	694.0
328	1256	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_02th_2024_04_22_14_logstep=28_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	ZMYM3	196.0	0.8554102312091096	440.77666449546814	0.8554205057831797	0.1440416036971978	0.8554120673297769	0.9326050144265255	0.7108206103743115	1712046575.8650346	0.8554085430532713	2.2222222222222223e-05	0.4343330919742584	57953.0	image-file	1200.0	png	1200.0	3e5ef1eca5b4c1c38fab68cf4b2c61c7067f78198d605c5c22955dec3d9822c9	media/images/Confusion Matrix_168_3e5ef1eca5b4c1c38fab.png	456.0
111	1318	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_02th_2024_00_28_16_logstep=18_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	HMGXB4	126.0	0.8545778987470714	273.8146586418152	0.8547373509506929	0.2951604343122906	0.8556852310719487	0.9298308370031242	0.7102041651945171	1712032371.635949	0.8545198901986543	3.418803418803419e-05	0.33071065694093704	56335.0	image-file	1200.0	png	1200.0	d26dd51624141670610b0a46912381b839675aa44a9ada485dfac910e5f170f2	media/images/Confusion Matrix_108_d26dd51624141670610b.png	285.0
293	4151	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_03th_2024_02_07_11_logstep=210_bs=1040_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	VEZF1	630.0	0.8538338567275927	1187.4246611595154	0.8542832071953493	0.2448288334977059	0.8592163126820239	0.9195024892944154	0.713702607357842	1709450820.171558	0.8545018654263303	1.2519561815336464e-05	0.3900205178393258	59808.0	image-file	1200.0	png	1200.0	7b2585c024451bd483c729eae50ab6e837b0d3afeb031266a3f99bde2730e057	media/images/Confusion Matrix_420_7b2585c024451bd483c7.png	1347.0
303	1662	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.001, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_29th_2024_07_57_43_logstep=24_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.001_len=100_epoch=10.0	ZBTB20	168.0	0.8527322005534348	376.0999433994293	0.8528072837632777	0.2272182653347651	0.853252778413942	0.924708731951927	0.7059611487014192	1711713840.8902864	0.852708580038275	1.3071895424836602e-05	0.4415615499019623	56729.0	image-file	1200.0	png	1200.0	d499dcf4e93b090baf91f55194c4279079acee73afcdda07e6ed5695301b5875	media/images/Confusion Matrix_144_d499dcf4e93b090baf91.png	385.0
71	4384	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1024, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_02th_2024_02_53_34_logstep=64_bs=1024_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	GATA4	192.0	0.8521768234947147	355.97488021850586	0.8521848588383384	0.27230035071261227	0.8522582844515973	0.9302785603232624	0.7044418410833106	1709366371.5260773	0.8521835605948898	0.0001414141414141414	0.3677444756031037	57893.0	image-file	1200.0	png	1200.0	e2a8e165f9ccdfd7bb64386b10ec03971f54e445f72952eebb7cc6bb2256d7c3	media/images/Confusion Matrix_128_e2a8e165f9ccdfd7bb64.png	411.0
54	946	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_03th_2024_19_25_04_logstep=31_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	ESRRA	217.0	0.8519387235154077	478.2281477451325	0.851963746223565	0.24693859008050736	0.8526447441836107	0.926161661297804	0.7048511303795861	1712187183.5553148	0.8522065224221127	1.5151515151515151e-05	0.3967606127262115	59410.0	image-file	1200.0	png	1200.0	8851eab19ba0275fd0102bfee2372e670efb13d9d72127d96da6dd8bb0415126	media/images/Confusion Matrix_186_8851eab19ba0275fd010.png	491.0
395	5286	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1024, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_February_27th_2024_22_06_01_logstep=76_bs=1024_lr=0.001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	ZNF652	228.0	0.8514043553254178	425.2432746887207	0.8514044095439445	0.27217867950859825	0.8514879946431007	0.925202847227664	0.7029677806635662	1709089987.4364116	0.8514797860683914	0.00013675213675213676	0.3731253828321184	55152.0	image-file	1200.0	png	1200.0	1ac2070351ebd1bceb2e5d4f27380f1ea6667dc82f6400bd68b6174bea4e5054	media/images/Confusion Matrix_152_1ac2070351ebd1bceb2e.png	490.0
9	1618	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_29th_2024_15_12_37_logstep=103_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	ATF3	618.0	0.8506947944829218	1352.4982271194458	0.851239785459549	0.28396768448422255	0.85702535951708	0.9144038387545956	0.7084866195406931	1711740910.51111	0.8514829385979412	0.00013015873015873017	0.3928806450631883	58487.0	image-file	1200.0	png	1200.0	b2f494fd2ade4892ac5bf4c82170484bd5c6b1eeeda4c0cf0d4b7eeae1c9a5e7	media/images/Confusion Matrix_515_b2f494fd2ade4892ac5b.png	1533.0
220	4225	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_02th_2024_12_55_59_logstep=226_bs=1040_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=100_epoch=10.0	RBM25	678.0	0.8504642174930986	1288.6606996059418	0.8506638289246985	0.21558423379881192	0.8513819256987152	0.9254243263524422	0.7016828379148036	1709403449.1418846	0.8503017436405755	1.1988304093567252e-05	0.4253183148409191	58881.0	image-file	1200.0	png	1200.0	41750697d4d7d1e527de8b5453046a4eedee2eac1d038a8b26310e9174cd24ad	media/images/Confusion Matrix_452_41750697d4d7d1e527de.png	1454.0
29	460	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_06th_2024_09_08_53_logstep=37_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	CHD2	259.0	0.8500249174417664	567.7962024211884	0.8503617501818321	0.17522777858618144	0.853978698733395	0.9276057627756272	0.7045198034042793	1712409502.3196783	0.8505494505494506	4.273504273504274e-06	0.4991491181509835	54128.0	image-file	1200.0	png	1200.0	dc9ec55d49dd2ffb811dafdb7b283aa139ae9e761c2955e022259191618e521d	media/images/Confusion Matrix_222_dc9ec55d49dd2ffb811d.png	577.0
275	3836	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_March_04th_2024_20_13_32_logstep=166_bs=1040_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	TEAD4	498.0	0.8498880703773563	941.2455334663392	0.849889165973954	0.25798238032912635	0.8499336631747698	0.9275445802535748	0.6998995493801182	1709602154.3742115	0.8499658869471487	1.23015873015873e-05	0.3781368689877646	56606.0	image-file	1200.0	png	1200.0	d184e9fb6e3dada3856237f7b1c59441adb83362ace037fa1d827f2a65ebcff6	media/images/Confusion Matrix_332_d184e9fb6e3dada38562.png	1066.0
182	1216	{'epochs': 10, 'Dropout': 0.1, 'batch_size': 4096, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models', 'learning_rate': 0.001, 'warm up percentage': 0.1, 'Maximum sequence length': 100}	TFBS_NonTFBS_April_02th_2024_10_09_05_logstep=24_bs=4096_lr=0.001_wp=0.1_dp=0.1_wd=0.005_len=100_epoch=10.0	NKRF	168.0	0.8496351484314582	363.5615527629852	0.8497867154174285	0.2895098676284154	0.8510298736897667	0.9244255905498712	0.7007463973159135	1712067310.185675	0.8497177520745773	1.3071895424836602e-05	0.333561384677887	58026.0	image-file	1200.0	png	1200.0	df374798d1a93bae8a6797f92f7c2c5feda07b800b60c69a20a5c2368875b606	media/images/Confusion Matrix_144_df374798d1a93bae8a67.png	372.0
