	config	name	tags	train_loss	eval_precision	eval_Validation loss	_step	_runtime	eval_mcc	_timestamp	eval_recall	learning_rate	eval_f1	eval_acc	eval_auc	Confusion Matrix.path	Confusion Matrix.size	Confusion Matrix._type	Confusion Matrix.width	Confusion Matrix.format	Confusion Matrix.height	Confusion Matrix.sha256	_wandb.runtime
30	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_01th_2024_06_10_19_logstep=2007_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	ZNF366	0.013802671895308377	0.8773305097555306	0.8591738199885888	20070.0	12504.718454122543	0.752722828449581	1717249126.57156	0.8753948076158932	8.297837030480722e-08	0.8761300412436339	0.8769046275395034		media/images/Confusion Matrix_18063_2cc067fa8004b063f3b7.png	55667.0	image-file	1200.0	png	1200.0	2cc067fa8004b063f3b7b33bc58e9f2738f122ac1c7dfa6f6e3a3dbc3dedbddd	12594.0
26	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 80, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_02th_2024_19_11_41_logstep=1593_bs=80_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	ZBTB33	0.2248463969296505	0.867835938373382	0.35230239936487473	15930.0	11043.519443511965	0.7356576533766547	1717380947.3970275	0.8678217151407689	1.0452233293847121e-08	0.8677996327767576	0.8678		media/images/Confusion Matrix_14337_bee908af8231f5d28410.png	55731.0	image-file	1200.0	png	1200.0	bee908af8231f5d28410c1cb9ab0898563fdc4f66727367f73b0ceea14b53eae	11133.0
23	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_02th_2024_20_21_52_logstep=2124_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	RAD21	0.0192603519422853	0.8630286663501058	0.91676210719347	21240.0	13185.086129426956	0.7260328399317342	1717387299.6328864	0.8630041739947472	7.841087297438579e-08	0.8629981580863476	0.863		media/images/Confusion Matrix_19116_1a3497d608496128a45b.png	56488.0	image-file	1200.0	png	1200.0	1a3497d608496128a45bdceceb0087dfdc245235b0c70833834bc3b73ed1e237	13282.0
18	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_02th_2024_09_15_45_logstep=2124_bs=60_lr=3e-06_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K9me1	0.29375911607510513	0.854650856082329	0.35434755247831345	21240.0	13126.245555877686	0.7088954583983376	1717347273.9604928	0.8542447186572777	2.3523261892315733e-09	0.8542215103217039	0.8542666666666666		media/images/Confusion Matrix_19116_826437ebf334f977bb78.png	54503.0	image-file	1200.0	png	1200.0	826437ebf334f977bb78bb144e918a8eb37bb1a9abde5cc745d5b6f73915330e	13228.0
6	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_27th_2024_20_33_10_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H2AK5ac	0.32970098424548944	0.8491140215716486	0.3549759864807129	1210.0	2258.157023668289	0.6972681347572646	1716858649.2927277	0.848154773015967	1.8066847335140018e-07	0.8474164944974618	0.8474666666666667	0.9170154187685812	media/images/Confusion Matrix_1089_a12145b661e671151638.png	57890.0	image-file	1200.0	png	1200.0	a12145b661e67115163861a58bf769050626f4236683b36f27cf06c1da6d4fe7	2308.0
21	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 0.0001, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_29th_2024_05_43_09_logstep=2124_bs=60_lr=0.0001_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	IKZF1	0.03724995659712067	0.8249184056769625	0.9766646106243132	21240.0	13169.007059335709	0.6494840112642657	1716988960.6844833	0.8245657013558876	7.841087297438579e-08	0.824371224981501	0.8244		media/images/Confusion Matrix_19116_024568e18b243dfaca6c.png	54860.0	image-file	1200.0	png	1200.0	024568e18b243dfaca6c7f8949d3294cdad45f810b3766a067336446a2bf16a0	13268.0
10	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_June_01th_2024_09_46_03_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	H3K14ac	0.3730520069106551	0.8210017334834698	0.3915384531021118	1210.0	2306.241225719452	0.6414767094900435	1717251870.8695986	0.8204751921062163	1.8066847335140018e-07	0.8204971799869062	0.8206	0.9034408417711902	media/images/Confusion Matrix_1089_46d833cefd0680d02b56.png	55902.0	image-file	1200.0	png	1200.0	46d833cefd0680d02b5679bd6abd705d55d3c97b3af932c5ecc7373e3c8bcb0c	2357.0
7	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 1e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_28th_2024_16_03_05_logstep=121_bs=1040_lr=1e-05_wp=0.1_dp=0.1_wd=0.005_len=300_epoch=15.0	H2BK12ac	0.39150984252779936	0.8213309225314473	0.4093704978624979	1210.0	2253.843985080719	0.6420409015060305	1716928839.932533	0.8207102789541943	1.8066847335140018e-07	0.8204707773730935	0.8205333333333333	0.8935587665309014	media/images/Confusion Matrix_1089_6f49a1ca92ab7c374b1d.png	55287.0	image-file	1200.0	png	1200.0	6f49a1ca92ab7c374b1d74e06c80b67899e1c73f8eba8fc23dcf0a6446ad87c7	2303.0
20	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 60, 'Weight Decay': 0.01, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-06, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_28th_2024_03_51_12_logstep=2124_bs=60_lr=3e-06_wp=0.1_dp=0.1_wd=0.01_len=300_epoch=15.0	H4K8ac	0.3736095933240125	0.820088216849922	0.415389812707901	21240.0	13192.746089458466	0.6401230540142362	1716895867.6696303	0.8200348393897873	2.3523261892315733e-09	0.8199960799146293	0.82		media/images/Confusion Matrix_19116_59744b1a416bea7dcaad.png	53790.0	image-file	1200.0	png	1200.0	59744b1a416bea7dcaadd375fac6dd3451b52f946ee91f65e18c8d2f147a09dd	13288.0
2	{'epochs': 15, 'Dropout': 0.1, 'batch_size': 1040, 'Weight Decay': 0.0005, 'architecture': 'TFBS_Finetuned_Models_300bp_balanced', 'learning_rate': 3e-05, 'warm up percentage': 0.1, 'Maximum sequence length': 300}	TFBS_NonTFBS_May_24th_2024_18_45_40_logstep=121_bs=1040_lr=3e-05_wp=0.1_dp=0.1_wd=0.0005_len=300_epoch=15.0	CTCF	0.3525875824049485	0.8189265505014123	0.43153398831685386	1210.0	2258.373427391052	0.6366406357314909	1716592999.5075223	0.8177152375894792	5.420054200542005e-07	0.8174457652008071	0.8176	0.8915679813877055	media/images/Confusion Matrix_1089_2bd8a6321949b95609b0.png	55737.0	image-file	1200.0	png	1200.0	2bd8a6321949b95609b06ccf683718b02d70ffd08ebc9dd4c958a7c492458b2b	2308.0
