	tags	eval_acc
137	KLF112	0.8102742529676628
374	ZNF530	0.8101545253863135
172	NCOA1	0.8101064480606877
414	ZSCAN29	0.8099487687985457
164	MTA3	0.809733855379888
356	ZNF366	0.8097323835194455
197	PHF5A2	0.8091620111731843
408	ZNF792	0.8090280740677532
24	CCAR2	0.8086510263929618
303	ZBTB25	0.8083861530960507
267	TBL1XR1	0.8073045267489712
25	CDC5L	0.8069948186528497
319	ZFP37	0.8067086492738722
12	BRD4	0.806403574087863
8	ATF1	0.8061919504643963
224	RFXANK	0.806049822064057
65	FOXM1	0.8059970332697606
45	E2F7	0.8059822150363783
153	MCM2	0.8058151609553479
118	IKZF1	0.8047201539687786
23	CC2D1A	0.8046335697399527
322	ZFP91	0.8038568450312717
20	CBX3	0.8035730078712302
40	DIDO1	0.8034755134281201
282	THRB	0.8028716721507628
119	IKZF2	0.8026414527990394
253	SP7	0.8014651654456955
340	ZNF2	0.8008554319931566
353	ZNF324	0.8007800780078008
105	HHEX	0.8007334963325183
175	NCOR1	0.8005950678033987
202	POLR2B	0.7997599039615846
364	ZNF416	0.7996918335901386
124	INSM2	0.7994637313011572
397	ZNF687	0.7985503857844284
399	ZNF7	0.7983576642335767
106	HLTF	0.7982213438735178
314	ZEB2	0.7971173946528771
208	PRDM4	0.7966523410992988
58	FEZF1	0.7955337933081089
104	HES1	0.7949836423118866
344	ZNF24	0.7939617274372899
56	ETV6	0.792964040002837
300	ZBTB17	0.7913305691669807
307	ZBTB5	0.7912178956089478
167	MYB	0.7910652920962199
392	ZNF644	0.7899257037693409
75	GFI1B	0.7892938496583144
218	RBM22	0.7882125012745997
411	ZSCAN21	0.7876588021778584
382	ZNF574	0.7872860635696821
262	STAT5A	0.7871779265571109
83	H2BK15ac	0.7865576532852345
90	H3K4ac	0.7862669118324681
383	ZNF579	0.786156351791531
160	MLLT1	0.785895148759855
312	ZC3H8	0.7851338432122371
74	GATAD2B	0.7844328125624326
223	RELB	0.7840619639236888
299	ZBTB12	0.7835890283589029
84	H2BK5ac	0.7826564623181163
276	TFDP1	0.7822034838566515
418	ZSCAN5C	0.7819275598445921
92	H3K9ac	0.7811996709237474
343	ZNF239	0.7805498981670062
163	MTA2	0.7801473439317564
297	ZBED1	0.7798932815910744
241	SMAD1	0.7797372901970323
339	ZNF184	0.7797202797202797
401	ZNF766	0.777935471662409
412	ZSCAN23	0.7760786455488804
52	EP400	0.7759045132413278
103	HDAC8	0.7757277572775728
154	MCM7	0.7740571025731406
221	RCOR22	0.7738793580520199
316	ZFP1	0.7733213965980305
354	ZNF335	0.7720580255399196
146	LEF1	0.7716009129442452
1	AFF1	0.7715033341774289
379	ZNF558	0.7691419141914192
188	OVOL3	0.7689914441275603
129	IRF9	0.7660316608532332
89	H3K27me3	0.7659081265272151
91	H3K79me1	0.7646450519177792
240	SKIL	0.764133433659393
5	ARID3A	0.7640707657618593
171	NBN	0.7599678271860278
157	MIER1	0.7575370464997445
207	PRDM10	0.755641196013289
386	ZNF592	0.7552368041282197
187	NR4A1	0.7549053356282271
194	PHB2	0.7548660084626234
328	ZNF112	0.7539585870889159
174	NCOA4	0.7538200339558574
396	ZNF677	0.7507507507507507
361	ZNF395	0.7506424194504843
6	ARNT	0.7504427628401223
286	TSC22D4	0.7504132231404959
21	CBX5	0.75
35	CUX1	0.7491869648901573
285	TRIM28	0.7474906586563118
341	ZNF217	0.7448626287153199
246	SMARCC2	0.7445482866043613
19	CBX2	0.7419871794871795
37	DDX20	0.7404386199518588
49	EHMT2	0.7398404294981732
168	MYBL2	0.7395273899033298
13	BRD9	0.7386969952260601
155	MEF2D	0.73647380098993
222	RELA	0.735830458353869
44	E2F5	0.7354599026389956
337	ZNF175	0.7347798340778557
385	ZNF589	0.7345122097918922
51	EP300	0.7343517521244856
11	BRCA1	0.7343071456770628
352	ZNF318	0.7315970727507534
101	HDAC3	0.7268507774425621
330	ZNF133	0.7225368063420159
122	ILF3	0.7158730158730159
409	ZNF83	0.7142857142857143
30	CHD7	0.7095272206303725
190	PAX8	0.7093856012061817
203	POLR2H	0.7080213903743315
210	PTRF	0.7050395256916996
238	SIX4	0.7039249146757679
123	ILK	0.7011494252873564
135	KHSRP	0.6998041136141038
0	ADNP	0.6977906976744186
357	ZNF37A	0.6973434535104365
281	THRAP3	0.6835654596100279
245	SMARCB1	0.6717817561807332
173	NCOA2	0.658200290275762
355	ZNF350	0.6483202287348105
377	ZNF549	0.6306493506493507
22	CBX8	0.6190638879398702
57	EWSR1	0.6057553956834533
373	ZNF529	0.5804503020318507
404	ZNF776	0.5329341317365269
346	ZNF26	0.5254394079555966
407	ZNF791	0.5141975308641975
317	ZFP3	0.5099894847528917
376	ZNF547	0.5094810379241517
95	H3T11ph	0.5077700077700078
249	SNIP1	0.5076394194041253
400	ZNF76	0.5061863173216885
323	ZHX1	0.5054545454545455
402	ZNF768	0.5051712992889463
59	FIP1L1	0.5045690736427163
211	PTTG1	0.5043057050592035
363	ZNF407	0.503244005641749
335	ZNF157	0.5030978934324659
126	IRF3	0.501813110181311
80	GMEB22	0.5016378100140384
336	ZNF16	0.5013100436681223
331	ZNF140	0.5008082767539606
209	PRPF4	0.500578569775515
94	H3K9me3	0.4999662244593237
88	H3K27ac	0.4998558678909167
85	H3F3A	0.49965140227720034
413	ZSCAN26	0.4957825679475164
